Symbol,Date,Open,High,Low,Close,Adjusted_Close,Volume
IBM,2/15/2019,137.580002,138.190002,137.389999,138.029999,131.8703,3844100
IBM,2/19/2019,137.809998,138.699997,137.360001,138.699997,132.510391,3385700
IBM,2/20/2019,138.759995,139.240005,137.220001,138,131.841644,3802000
IBM,2/21/2019,137.820007,138.350006,137.350006,137.839996,131.688797,2937300
IBM,2/22/2019,138.729996,139.380005,138.429993,139.25,133.035858,3113700
IBM,2/25/2019,140,140.470001,139.320007,139.460007,133.236481,3194200
IBM,2/26/2019,139.669998,140.490005,139.470001,139.720001,133.484879,3060400
IBM,2/27/2019,139.25,139.570007,138.399994,139.169998,132.959427,2530900
IBM,2/28/2019,138.770004,139.059998,137.720001,138.130005,131.965851,3457800
IBM,3/1/2019,139.309998,140.039993,138.639999,139.199997,132.988068,3030000
IBM,3/4/2019,139.990005,140.080002,137.169998,138.429993,132.252441,3406900
IBM,3/5/2019,138.369995,138.740005,137.559998,137.880005,131.72699,4250300
IBM,3/6/2019,138.119995,138.389999,136.720001,136.979996,130.867142,2768300
IBM,3/7/2019,136.610001,136.889999,134.630005,135.360001,129.319458,4358800
IBM,3/8/2019,134.210007,135.240005,133.580002,135.089996,129.061493,3773600
IBM,3/11/2019,136.029999,137.729996,135.839996,137.710007,131.56459,3939300
IBM,3/12/2019,138.520004,139.699997,137.860001,138.279999,132.109131,3954700
IBM,3/13/2019,138.050003,139.320007,137.850006,138.559998,132.376633,3173200
IBM,3/14/2019,138.509995,138.940002,138.059998,138.789993,132.596375,2738600
IBM,3/15/2019,139.369995,140.330002,139.229996,139.429993,133.207825,7153700
IBM,3/18/2019,139.830002,140.369995,138.720001,140.210007,133.953018,3268500
IBM,3/19/2019,140.960007,141.699997,140,140.490005,134.220535,3482300
IBM,3/20/2019,140.529999,140.699997,138.979996,139.600006,133.370239,3649500
IBM,3/21/2019,139.100006,142.119995,138.880005,141.440002,135.128128,3605400
IBM,3/22/2019,140.970001,141.440002,138.899994,139.449997,133.226929,3877200
IBM,3/25/2019,139.059998,139.910004,138.350006,139.179993,132.968979,2839800
IBM,3/26/2019,139.929993,141.020004,139.419998,140.220001,133.96257,2553700
IBM,3/27/2019,140.410004,140.490005,138.399994,139.240005,133.026306,3098200
IBM,3/28/2019,139.910004,140.440002,139.100006,139.919998,133.675964,2663900
IBM,3/29/2019,140.5,141.220001,140.149994,141.100006,134.803314,3101400
IBM,4/1/2019,141.509995,143.410004,141.509995,143.300003,136.905136,3984300
IBM,4/2/2019,143.350006,143.949997,142.600006,143,136.618515,2404800
IBM,4/3/2019,143.649994,144.220001,143.009995,143.630005,137.220383,2681200
IBM,4/4/2019,143.619995,144.139999,142.539993,142.779999,136.408325,2771100
IBM,4/5/2019,143.289993,143.5,142.460007,143.279999,136.886017,2731800
IBM,4/8/2019,143.020004,143.419998,142.869995,143.389999,136.991104,2118200
IBM,4/9/2019,142.660004,142.949997,141.839996,142.110001,135.768219,3038500
IBM,4/10/2019,142.199997,143.5,141.979996,143.020004,136.637619,2678000
IBM,4/11/2019,143.800003,144.110001,143.029999,143.779999,137.363693,2942000
IBM,4/12/2019,144.259995,144.440002,143.699997,144.350006,137.908264,2898900
